id,screen_name,text_raw,like_counts,total_number,created_at
5040753760013675,_a_a_a_a__a,恭喜Prada喜提贾玲导演。,9037,17,Sun Jun 02 09:46:52 +0800 2024
5040776035699070,黄叶汉宫秦罗敷,现在她的定位是什么呢？喜剧演员？不像了。花瓶？算不上。顶级导演？够不着。,1252,457,Sun Jun 02 11:15:23 +0800 2024
5040754201986023,大药儿,一下子找对人了，品牌的力量感有了,4743,34,Sun Jun 02 09:48:37 +0800 2024
5040754819074356,元气河伯,找对人了！！肯定不会翻车[笑cry][笑cry],4137,138,Sun Jun 02 09:51:04 +0800 2024
5040764627193358,点化人间,你看评论区。不管谁成功都有酸黄瓜！有的人就是见不到别人的好！,531,17,Sun Jun 02 10:30:03 +0800 2024
5040759668212333,卟吖,虽然但是，也没有很美,1238,281,Sun Jun 02 10:10:20 +0800 2024
5040770525957683,摆烂小咸鱼_00,突然觉得品牌质感上来了，和那种脸好看的假面明星尤其是爱豆完全不一样的感觉，现在给我是感觉是这个牌子是成功有品味的人士穿的，以前给我的感觉是这个牌子是有钱人穿的,1158,17,Sun Jun 02 10:53:29 +0800 2024
5040758731837053,-阿橙橙橙橙,评论区有的人别太酸啦～让我们恭喜贾玲导演[彩虹屁][彩虹屁][彩虹屁],2547,21,Sun Jun 02 10:06:37 +0800 2024
5040762972279370,小奥再也不熬夜ing,贾玲就是拍了两部电影票房88亿成了中国女导演票房第一啊[憧憬]李焕英还被被索尼买了版权要在好莱坞上映，怎么就搞笑了，我看在这里酸言酸语的你最搞笑,218,2,Sun Jun 02 10:23:28 +0800 2024
5040770912616569,Emma蘑古力,热辣滚烫后对她没啥好感了[黑线],206,32,Sun Jun 02 10:55:00 +0800 2024
5040776562082096,哈利鹿棣,穿prada的女王！,288,3,Sun Jun 02 11:17:27 +0800 2024
5040761206999290,哈里harrislee,花了多少钱买的热搜？,73,9,Sun Jun 02 10:16:27 +0800 2024
5040769523778422,LittleMiss2021,哪里美了。就尬吹呗,71,4,Sun Jun 02 10:49:30 +0800 2024
5040839014746899,你茜_,不是有些人真的不懂吗 她现在真的很有质感啊,11,0,Sun Jun 02 15:25:38 +0800 2024
5040759503591783,国士无双306,不尴尬吗，天天营销不完了，谁想看他啊,51,3,Sun Jun 02 10:09:41 +0800 2024
5040753749526612,Tz816____,侧面不好看,82,25,Sun Jun 02 09:46:49 +0800 2024
5040770740912735,用户m841z0y6pf,能不能别买热搜了 减个肥成天刷,58,1,Sun Jun 02 10:54:20 +0800 2024
5040799874289246,lloud-李霞奴,她再也不是综艺上胖胖的任人打趣的贾玲了，跳出观众给她定义的舒适圈，变得“危险”。不是红毯借不到高定的谐星，而是代言时尚品牌的女明星！某些女性觉得她飞得太高，自己比不上了。某些男的觉得这种女人“不好掌控”，特别急。我想说，贾玲，往前走，别回头，任何人都拖不住你，天高海阔，大有作为,79,5,Sun Jun 02 12:50:06 +0800 2024
5040762574081287,日常杂记录,个人觉得热浪滚烫这电影真的很一般，没啥看点啊，和上一部比起来相差还是蛮大的，上一部好看。最大的看点或者说噱头就是贾玲自己本身减掉一半的体重。,50,5,Sun Jun 02 10:21:53 +0800 2024
5040803522549463,陆梨梨LL,Prada 终于找了一位安全的代言人[doge],132,3,Sun Jun 02 13:04:36 +0800 2024
5040799698130952,要积极不要emo,还不如胖的时候讨喜，减个肥一天天热搜就没停过，最恶心的营销，极度败好感,8,0,Sun Jun 02 12:49:24 +0800 2024
5040766877698343,Lilllllliiliili,不懂就问，美在哪里了,30,0,Sun Jun 02 10:38:59 +0800 2024
5040832027822282,_完美小孩,不知道为啥，感觉虽然在笑，但是也不是很开心,17,4,Sun Jun 02 14:57:52 +0800 2024
