label,review
1,银色的罗马高跟鞋，圆球吊饰耳饰单带，个性十足，有非常抢眼！
3,稳吾到嘛？
3,以后打死也不吃了
5,来广州两天都没能织围脖，一直都在忙，再加上又感冒了，好痛苦[泪]不过广州给我的感觉灰常好!
4,对骂我从来没怕过，你们也就只能考虑暗杀了，这样就充分保护动物了，臭傻逼们[打哈气]
0,你这么说的我都不好意思呢
2,我到了，文，好惨啊…
0,真是不容易啊。。
4,不行
3,求你别再问这个问题了
4,恩是啊，崩溃边缘了，我都怀疑自己是不是不是地球人了
0,回复@四眼乾坤:很多事情大家都不可能去现场，即使去过现场的，也因自身能力和环境条件的限制，不可能进行彻底调查，去现场简单走一下，与彻底调查是一回事吗？
3,琴晚俾个死扑街捞差点拉上无池搏懵
0,手机电视无线江苏省内免收流量费。
5,你们一个寝室的真的舒服啊
1,[爱你]祝福凯爷婷姐新婚快乐[心]，1016我们天津见！[蛋糕]
5,当爹的幸福感，呵呵
2,真的假的、我有这么幸运么？
2,杯具了。。
2,梦想着偶然能有一天再相见，从此我开始孤单地思念。
0,最近在玩什么呢?
2,有些电影为什么总是那么想让人哭，可是却总是哭不出来？
0,你怎么这么容易生气啊。。。
0,请问他赚了多钱？
3,有必要这么看不起国货吗？
1,等考完试我会继续爱翰！
1,不过去年扭了脖子带来了好运气，希望这次也是！
1,我希望无论是我们80后，还是70后，都可以一直保持着一份童心，一份简单。
0,你是？？
0,看到照片了，幸好没去
0,咋验证他算的对不对？
5,哈哈还说身体不舒服！明明就是个人来疯！
2,姐姐，生日是没办法让我随心所欲的啊。三十年前俺就是这天出生的呢。
1,[zongzi][zongzi]额想吃粽子妈妈包的粽子特别想吃[哭泣女]
0,哦。老人家系甘。成日错。习惯就好3264
1,翻译了一下，也希望能说给云南的同胞听，大家加油！
0,当时苏联派出5万毫无防备的士兵进入，均在几年内相继死去。
0,修路吗？
2,开车在路上，常遇见猫狗的尸体，除了发出怜悯的声音，其实还可以做更多的。
0,我觉得你老公要有微博你们早离婚了………
5,这样的生活已经太美好
3,这么猛的凶器。。你准备拿来消灭谁？
1,回复@dr小刀:[给力]
1,现在那里有私房菜了。改天我预定。
5,谢谢你观阅我的微博，互相学习！
1,走阿、走阿！海边烧烤
0,没有什么学生？
1,我感动了怎么办
0,如果你能想出给这样的客户送什么东西，我一定帮衬。
1,哇…你都穿短袖那…
2,有时候，夜深人静的时候，突然觉得寂寞深入骨髓；
0,清远无星巴巴咖，又落广州浦啊？
2,看的偶是各种难过心疼无比~~
